African Pollen Database,APD
10.22498/pages.28.1.26,APD
analytics.huma-num.fr/archeoviz/home,archeoViz
archeoViz,archeoViz
10.21105/joss.05811,archeoViz
ARIADNE Portal,ARIADNE
ARIADNE,ARIADNE
ariadneplus_lab,ARIADNE
ariadne-infrastructure.eu,ARIADNE
www.ariadne-research-infrastructure.eu,ARIADNE
bien.nceas.ucsb.edu/bien,BIEN
10.1111/2041-210X.12861,BIEN
Botanical Information and Ecology Network,BIEN
BioDeepTime,BioDeepTime
biodeeptime.github.io,BioDeepTime
10.1111/geb.13735,BioDeepTime
BioTIME,BioTIME
biotime.st-andrews.ac.uk,BioTIME
BugsCEP,BugsCEP
Canadian Archaeological Radiocarbon Database,CARD
www.canadianarchaeology.ca,CARD
CHELSA,CHELSA
chelsa-climate.org/paleo-climate,CHELSA
10.16904/envidat.211,CHELSA
CHELSA-TraCE21k,CHELSA
European Pollen Database,EPD
epd.imbe.fr,EPD
discovery.ucl.ac.uk/id/eprint/1469811,EUROEVOL
EUROEVOL,EUROEVOL
European Vegetation Archive,EVA
10.1111/avsc.12191,EVA
euroveg.org/eva-database,EVA
FAUNMAP,FAUNMAP
FishBase,FishBase
fishbase.se/home.php,FishBase
rfishbase,FishBase
Functional Trait Resource for Environmental Studies,FuTRES
FuTRES,FuTRES
futres-data-interface.netlify.app,FuTRES
GBIF,GBIF
Global Biodiversity Information Facility,GBIF
rgbif,GBIF
www.gbif.org,GBIF
Global Charcoal Database,Global Paleofire Database
Global Paleofire Database,Global Paleofire Database
GPD,Global Paleofire Database
Paleofire Database,Global Paleofire Database
www.paleofire.org,Global Paleofire Database
Global Network of Isotopes in Precipitation,GNIP
GNIP,GNIP
www.iaea.org/services/networks/gnip,GNIP
iDigBio,iDigBio
Integrated Digitized Biocollections,iDigBio
www.idigbio.org,iDigBio
Latin American Pollen Database,LAPD
Macrostrat,Macrostrat
macrostrat.org,Macrostrat
doi.org/10.5281/zenodo.8136482,MARBEN
MARBEN,MARBEN
MARSPEC,MARSPEC
Paleo-MARSPEC,MARSPEC
www.marspec.org,MARSPEC
QMMDB,Mexican Mammal Database
Quaternary Mexican Mammal Database,Mexican Mammal Database
Mexican Mammal Database,Mexican Mammal Database 
phytolith.missouri.edu,Missouri Phytolith Database
Missouri Phytolith Database,Missouri Phytolith Database 
NAKALA,NAKALA
nakala.fr/about,NAKALA
North American Pollen Database,NAPD
NCBI,NCBI
National Ecological Observatory Network,NEON
www.neonscience.org,NEON
Neotoma,Neotoma
www.neotomadb.org,Neotoma
Neotoma Paleoecology,Neotoma
neotoma2,Neotoma
NeotomaDB,Neotoma
neotomadb.org,Neotoma
Neptune,Neptune
Neptune Sandbox,Neptune
Neptune Sandbox Berlin,Neptune
NSB,Neptune
www.biodiversity.be/5132,Neptune
NCEI Paleoclimatology Database,NOAA Paleoclimatology Database
NOAA Paleoclimatology,NOAA Paleoclimatology Database
NOAA Paleoclimatology Database,NOAA Paleoclimatology Database
NOAA/WDS for Paleoclimatology,NOAA Paleoclimatology Database
www.ncei.noaa.gov/products/paleoclimatology,NOAA Paleoclimatology Database
National Oceanographic Database,NODB
NODB,NODB
www.bodc.ac.uk/data/bodc_database/nodb,NODB
Nonmarine Ostracod Distribution in Europe,NODE
www.gbif.org/dataset/a779af82-1422-4b00-9e7f-8e1c1f07bea2,NODE
Non-Pollen Palynomorph Image Database,NPP-ID
non-pollen-palynomorphs.uni-goettingen.de,NPP-ID
NPP-ID,NPP-ID
OBIS,OBIS
obis.org,OBIS
Ocean Biodiversity Information System,OBIS
octopusdata.org,OCTOPUS
Open Archaeo,OpenArchaeo
openarchaeo.huma-num.fr/explorateur/home,OpenArchaeo
Digital Index of North American Archaeology,OpenContext
DINAA,OpenContext
Open Context,OpenContext
OpenContext,OpenContext
opencontext.org,OpenContext
PEOPLE 3000 Radiocarbon Database,p3k14c
www.p3k14c.org,p3k14c
p3k14c,p3k14c 
PaleobioDB,Paleobiology Database
paleobiodb.org,Paleobiology Database
Paleobiology Database,Paleobiology Database
PBDB,Paleobiology Database
botany.natur.cuni.cz/palycz,PALY-CZ
Czech Quaternary Palynological Database,PALY-CZ
PALY-CZ,PALY-CZ
Phyt-Core,Phyt-Core
www.phytcore.org/phytolith,Phyt-Core
geology.er.usgs.gov/egpsc/prism/7.2_pliomip2_data.html,PlioMIP
pastglobalchanges.org/publications/pages-magazines/pages-magazine/128661,PlioMIP
Pliocene Model Intercomparison Project,PlioMIP
PlioMIP,PlioMIP
PlioMIP2,PlioMIP
geology.er.usgs.gov/egpsc/prism/index.html,PRISM
Pliocene Research Interpretation and Synoptic Mapping,PRISM
Old Wood in a New Light,SEAD
SEAD,SEAD
Strategic Environmental Archaeology Database,SEAD
www.sead.se,SEAD
sead.se,SEAD
Silva,Silva
www.arb-silva.de,Silva
researchdata.reading.ac.uk/256,SISAL
SISAL,SISAL
Speleothem Isotopes Synthesis and AnaLysis,SISAL
Global Vegetation Database,sPlot
sPlot,sPlot
www.idiv.de/en/splot.html,sPlot
core.tdar.org,tDAR
tDAR,tDAR
The Digital Archaeological Record,tDAR
doi.org/10.6084/m9.figshare.c.5242154.v3,Triton
Triton,Triton
Plant Trait Database,TRY
rtry,TRY
TRY Database,TRY
www.try-db.org/TryWeb,TRY
VARDA,VARDA
varve.gfz-potsdam.de,VARDA
Varved Sediments Database,VARDA
VertNet,VertNet
vertnet.org,VertNet
WorldClim,WorldClim
www.worldclim.org,WorldClim
World Register of Marine Species,WORMS
worrms,WORMS
WORMS,WORMS
www.marinespecies.org,WORMS
